"63","ACO","Ascona Airport","Ascona","Switzerland","Ascona, Switzerland"
"64","ACR","Araracuara Airport","Araracuara","Colombia","Araracuara, Colombia"
"65","ACS","Achinsk Airport","Achinsk","Russia","Achinsk, Krasnoyarski, Russia"
"66","ACT","Waco Regional Airport","Waco","United States","Waco, Texas, United States"
"67","ACU","Achutupo Airport","Achutupo","Panama","Achutupo, Panama"
"68","ACV","Arcata-Eureka Airport","McKinleyville","United States","McKinleyville, California, United States"
"69","ACY","Atlantic City International Airport","Atlantic City","United States","Atlantic City, New Jersey, United States"
"70","ACZ","Zabol Airport","Zabol","Iran","Zabol, Iran"
"71","ADA","Adana Şakirpaşa Airport","Adana","Turkey","Adana, Turkey"
"72","ADB","Adnan Menderes Airport","İzmir","Turkey","İzmir, Turkey"
"73","ADC","Andakombe Airport","Andakombe","Papua New Guinea","Andakombe, Papua New Guinea"
"74","ADD","Bole International Airport","Addis Ababa","Ethiopia","Addis Ababa, Ethiopia"
"75","ADE","Aden International Airport","Aden","Yemen","Aden, Yemen"
"76","ADF","Adıyaman Airport","Adıyaman","Turkey","Adıyaman, Turkey"
"77","ADG","Lenawee County Airport","Adrian","United States","Adrian, Michigan, United States"
"78","ADH","Aldan Airport","Aldan","Russia","Aldan, Russia"
"79","ADI","Arandis Airport","Arandis/Swakopmund","Namibia","Arandis/Swakopmund, Namibia"
"80","ADJ","Marka International Airport","Amman","Jordan","Amman, Jordan"
"81","ADK","Adak Island Airport","Adak Island","United States","Adak Island, Alaska, United States"
"82","ADL","Adelaide International Airport","Adelaide","Australia","Adelaide, South Australia, Australia"
"83","ADM","Ardmore Municipal Airport","Ardmore","United States","Ardmore, Oklahoma, United States"
"84","ADN","Andes Airport","Andes","Colombia","Andes, Colombia"
"85","ADO","Andamooka Airport","Andamooka","Australia","Andamooka, South Australia, Australia"
"86","ADP","Anuradhapura Airport","Anuradhapura","Sri Lanka","Anuradhapura, Sri Lanka"
"87","ADQ","Kodiak Airport","Kodiak","United States","Kodiak, Alaska, United States"
"88","ADR","Robert F. Swinnie Airport (FAA: PHH)","Andrews","United States","Andrews, South Carolina, United States"
"89","ADS","Addison Airport","Dallas","United States","Dallas, Texas, United States"
"90","ADT","Ada Municipal Airport (FAA: ADH)","Ada","United States","Ada, Oklahoma, United States"
"91","ADU","Ardabil Airport","Ardabil","Iran","Ardabil, Iran"
"92","ADV","Andover Airport","Andover","United Kingdom","Andover, England, United Kingdom"
"93","ADW","Andrews Air Force Base","Camp Springs","United States","Camp Springs, Maryland, United States"
"94","ADX","RAF Leuchars","St Andrews","United Kingdom","St Andrews, Scotland, United Kingdom"
"95","ADY","Alldays Airport","Alldays","South Africa","Alldays, Limpopo, South Africa"
"96","ADZ","Gustavo Rojas Pinilla International Airport","San Andres Island","Colombia","San Andres Island, Colombia"
"97","AEA","Abemama Atoll Airport","Abemama Atoll","Kiribati","Abemama Atoll, Kiribati"
"98","AED","Aleneva Airport","Aleneva","United States","Aleneva, Alaska, United States"
"99","AEG","Aek Godang Airport","Padang Sidempuan","Indonesia","Padang Sidempuan, Indonesia"
"100","AEH","Abéché Airport","Abéché","Chad","Abéché, Chad"
"101","AEK","Aseki Airport","Aseki","Papua New Guinea","Aseki, Papua New Guinea"
"102","AEL","Albert Lea Municipal Airport","Albert Lea","United States","Albert Lea, Minnesota, United States"
"103","AEO","Aioun el Atrouss Airport","Aioun El Atrouss","Mauritania","Aioun El Atrouss, Mauritania"
"104","AEP","Jorge Newbery Airpark","Buenos Aires","Argentina","Buenos Aires, Argentina"
"105","AER","Adler-Sochi International Airport","Sochi","Russia","Sochi, Krasnodar, Russia"
"106","AES","Ålesund Airport, Vigra","Aalesund","Norway","Aalesund, Norway"
"107","AET","Allakaket Airport (FAA: 6A8)","Allakaket","United States","Allakaket, Alaska, United States"
"108","AEX","Alexandria International Airport","Alexandria","United States","Alexandria, Louisiana, United States"
"109","AEY","Akureyri Airport","Akureyri","Iceland","Akureyri, Iceland"
"110","AFA","San Rafael Airport","San Rafael","Argentina","San Rafael, Mendoza, Argentina"
"111","AFD","Port Alfred Airport","Port Alfred","South Africa","Port Alfred, South Africa"
